catalog_id,name,biopsy_id,sample_id,sample_lookup_name,source_group,model1_rank,model1_score,model1_evidence,model1_mature_date,model1_immature_date,model1_older_than_count,model1_younger_than_count,model1_basis,model2_rank,model2_score,model2_evidence,model2_mature_date,model2_immature_date,model2_older_than_count,model2_younger_than_count,model2_basis,model3_rank,model3_score,model3_evidence,model3_mature_date,model3_immature_date,model3_older_than_count,model3_younger_than_count,model3_basis,model3_birth_year_anchor_date,model3_immature_plus_15_mature_date,model3_last_evidence_date,rank_change_model1_to_model2,movement_model1_to_model2,rank_change_model2_to_model3,movement_model2_to_model3,rank_change_model1_to_model3,movement_model1_to_model3,current_view_rank,rank_note
1042,Kai-Zed,1055,BI154,Kai-Zed,MPRF,9,0,none,,,0,0,,34,-3,immature,,2010-04-12,0,3,MPRF provided age class immature,34,-3,immature,,2010-04-12,0,3,MPRF provided age class pup,2010-04-12,2025-04-12,2024-04-12,-25,Moved younger/lower,0,No rank change,-25,Moved younger/lower,19,
1080,Lisa Rae,1018,BI117,Lisa Rae,MPRF,9,0,mature,2023-10-02,,0,0,>15 years MPRF resight history,34,-3,mature_and_immature,2023-10-02,2008-10-02,0,3,MPRF provided age class immature; >15 years MPRF resight history,34,-3,mature_and_immature,2023-10-02,2008-10-02,0,3,MPRF provided age class pup; pup / immature anchor + 15 years mature date; >15 years MPRF resight history,2008-10-02,2023-10-02,2024-10-02,-25,Moved younger/lower,0,No rank change,-25,Moved younger/lower,19,
685,Melainah MP147 Cat59,75,BI_K04,Melainah,HAMER,75,-3,immature,,2010-12-12,0,3,HAMER biopsy-linked age class,39,-4,immature,,2010-12-12,0,4,HAMER biopsy-linked age class immature,39,-4,immature,,2010-12-12,0,4,HAMER biopsy-linked age class immature,,2025-12-12,2016-09-01,36,Moved older/higher,0,No rank change,36,Moved older/higher,59,
698,Not RR F Cat71,56,,,HAMER,75,-3,immature,,2010-12-12,0,3,HAMER biopsy-linked age class,39,-4,immature,,2010-12-12,0,4,HAMER biopsy-linked age class immature,39,-4,immature,,2010-12-12,0,4,HAMER biopsy-linked age class immature,,2025-12-12,2010-12-12,36,Moved older/higher,0,No rank change,36,Moved older/higher,82,
695,Tucker MP206 Cat68,79,BI_K03,Tucker,HAMER,75,-3,immature,,2010-12-12,0,3,HAMER biopsy-linked age class,39,-4,immature,,2010-12-12,0,4,HAMER biopsy-linked age class immature,39,-4,immature,,2010-12-12,0,4,HAMER biopsy-linked age class immature,,2025-12-12,2010-12-11,36,Moved older/higher,0,No rank change,36,Moved older/higher,82,
683,Vallaray MP110,55,,,HAMER,75,-3,immature,,2010-12-08,0,3,HAMER biopsy-linked age class,39,-4,immature,,2010-12-08,0,4,HAMER biopsy-linked age class immature,39,-4,immature,,2010-12-08,0,4,HAMER biopsy-linked age class immature,,2025-12-08,2024-10-21,36,Moved older/higher,0,No rank change,36,Moved older/higher,39,
1034,Jordan Ray,1009,BI108,Jordan,MPRF,9,0,none,,,0,0,,43,-6,immature,,2011-08-01,0,6,MPRF provided age class immature,43,-6,immature,,2011-08-01,0,6,MPRF provided age class pup,2011-08-01,2026-08-01,2024-08-01,-34,Moved younger/lower,0,No rank change,-34,Moved younger/lower,27,
1087,Mac Ray,1021,BI120,Mac,MPRF,9,0,none,,,0,0,,43,-6,immature,,2010-12-22,0,6,MPRF provided age class immature,43,-6,immature,,2010-12-22,0,6,MPRF provided age class pup,2010-12-22,2025-12-22,2023-12-22,-34,Moved younger/lower,0,No rank change,-34,Moved younger/lower,25,
724,Nick MP185,1004,BI103,Nick,MPRF,9,0,none,,,0,0,,43,-6,immature,,2011-07-18,0,6,MPRF provided age class immature,43,-6,immature,,2011-07-18,0,6,MPRF provided age class pup,2011-07-18,2026-07-18,2024-07-18,-34,Moved younger/lower,0,No rank change,-34,Moved younger/lower,27,
966,Darth Ray-der,1048,BI147,Darth Rayder,MPRF,9,0,none,,,0,0,,46,-7,immature,,2012-06-30,0,7,MPRF provided age class immature,46,-7,immature,,2012-06-30,0,7,MPRF provided age class pup,2012-06-30,2027-06-30,2024-06-30,-37,Moved younger/lower,0,No rank change,-37,Moved younger/lower,23,
