catalog_id,manta_id,q_photo_id,ref_photo_id,q_path,ref_path,cos_ref
25,785,991,6154,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/991/991.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6154/6154.jpg,0.7902457118034363
139,456,558,6200,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/558/558.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6200/6200.jpg,0.7888072729110718
35,488,595,6180,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/595/595.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6180/6180.jpg,0.787824273109436
7,12,6,6026,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6/6.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6026/6026.jpg,0.786834716796875
281,445,534,6368,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/534/534.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6368/6368.jpg,0.7866332530975342
44,932,1222,6109,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1222/1222.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6109/6109.jpg,0.7827990055084229
105,83,88,6017,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/88/88.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6017/6017.jpg,0.7803325057029724
104,76,80,6005,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/80/80.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6005/6005.jpg,0.778171181678772
253,9,13,6229,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/13/13.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6229/6229.jpg,0.7771949768066406
129,405,475,6330,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/475/475.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6330/6330.jpg,0.7749990224838257
262,777,986,5996,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/986/986.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/5996/5996.jpg,0.7745757102966309
257,513,634,6124,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/634/634.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6124/6124.jpg,0.7703036069869995
21,265,310,6249,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/310/310.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6249/6249.jpg,0.7698137760162354
247,338,392,6204,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/392/392.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6204/6204.jpg,0.768803596496582
277,114,130,6300,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/130/130.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6300/6300.jpg,0.7687813639640808
72,691,893,6011,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/893/893.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6011/6011.jpg,0.7605276107788086
253,804,1013,6229,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1013/1013.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6229/6229.jpg,0.7595216035842896
43,834,1055,6063,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1055/1055.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6063/6063.jpg,0.7558126449584961
143,600,767,6338,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/767/767.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6338/6338.jpg,0.7542948722839355
18,391,457,6132,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/457/457.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6132/6132.jpg,0.7539371252059937
121,266,311,6223,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/311/311.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6223/6223.jpg,0.747943103313446
212,267,312,6142,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/312/312.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6142/6142.jpg,0.7471915483474731
10,64,65,6119,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/65/65.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6119/6119.jpg,0.7452657222747803
195,844,1069,6234,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1069/1069.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6234/6234.jpg,0.7448804378509521
145,641,819,6066,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/819/819.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6066/6066.jpg,0.7435013055801392
55,250,294,6320,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/294/294.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6320/6320.jpg,0.7395918369293213
209,112,127,6147,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/127/127.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6147/6147.jpg,0.736864447593689
67,634,809,6014,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/809/809.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6014/6014.jpg,0.7362678050994873
130,764,973,6168,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/973/973.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6168/6168.jpg,0.7321875095367432
172,142,164,6065,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/164/164.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6065/6065.jpg,0.7302303910255432
234,881,1136,6051,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1136/1136.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6051/6051.jpg,0.7287487387657166
103,41,40,6055,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/40/40.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6055/6055.jpg,0.7269387245178223
41,633,808,6165,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/808/808.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6165/6165.jpg,0.7243872880935669
109,121,138,6298,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/138/138.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6298/6298.jpg,0.7210350036621094
155,1012,1382,6153,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1382/1382.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6153/6153.jpg,0.7204705476760864
188,569,721,6134,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/721/721.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6134/6134.jpg,0.7193683981895447
12,340,394,6116,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/394/394.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6116/6116.jpg,0.7193667888641357
123,599,766,6256,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/766/766.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6256/6256.jpg,0.7183010578155518
38,547,691,6354,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/691/691.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6354/6354.jpg,0.7168756723403931
74,788,995,6056,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/995/995.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6056/6056.jpg,0.7139130234718323
286,711,918,6361,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/918/918.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6361/6361.jpg,0.7073984146118164
204,18,17,6272,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/17/17.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6272/6272.jpg,0.7050867080688477
