catalog_id,manta_id,q_photo_id,ref_photo_id,q_path,ref_path,cos_ref,kp1,kp2,good,inliers_ref,inlier_ratio_ref,best_other_inliers,best_other_ratio,margin_inliers,margin_ratio
141,626,799,6329,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/799/799.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6329/6329.jpg,0.8896355032920837,609,528,266,262,0.9849624060150376,8,0.6666666666666666,254,0.31829573934837097
31,454,549,6290,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/549/549.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6290/6290.jpg,0.8397504091262817,1403,595,275,259,0.9418181818181818,8,0.6666666666666666,251,0.27515151515151515
217,432,510,6359,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/510/510.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6359/6359.jpg,0.6307058930397034,1079,568,268,255,0.9514925373134329,6,0.5714285714285714,249,0.38006396588486147
88,619,791,6217,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/791/791.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6217/6217.jpg,0.9370843172073364,586,428,278,257,0.9244604316546763,12,0.5714285714285714,245,0.3530318602261049
189,610,781,6323,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/781/781.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6323/6323.jpg,0.8223653435707092,2497,690,271,254,0.9372693726937269,11,0.5,243,0.4372693726937269
218,467,569,6140,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/569/569.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6140/6140.jpg,0.6501279473304749,769,526,260,248,0.9538461538461539,10,0.6666666666666666,238,0.28717948717948727
101,344,398,6358,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/398/398.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6358/6358.jpg,0.915223240852356,517,473,249,241,0.9678714859437751,7,0.6666666666666666,234,0.3012048192771085
106,428,503,6339,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/503/503.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6339/6339.jpg,0.9159199595451356,542,493,245,238,0.9714285714285714,6,0.7142857142857143,232,0.2571428571428571
287,572,727,6097,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/727/727.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6097/6097.jpg,0.5464639663696289,886,740,247,238,0.9635627530364372,8,0.6666666666666666,230,0.2968960863697706
267,614,786,6379,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/786/786.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6379/6379.jpg,0.8153287172317505,945,489,258,234,0.9069767441860465,7,0.6666666666666666,227,0.24031007751937983
