output_filename,pk_catalog_id,gender,age_class,population,storage_path,photo_uuid,fk_catalog_id,pk_photo_id
562_Female_unknown_Maui-Nui.jpg,562,Female,unknown,Maui-Nui,photos-5082-5082.jpg,5c3dd89e-41b4-4729-8590-ab0dae39a3e2,562,5082
563_Female_unknown_Maui-Nui.jpg,563,Female,unknown,Maui-Nui,photos-5083-5083.jpg,921dd821-e9b0-4a5d-a515-bfbedc466f44,563,5083
567_Female_unknown_Maui-Nui.jpg,567,Female,unknown,Maui-Nui,photos-5089-5089.jpg,94c1f6e5-d85e-48f7-b565-3f9451680d1d,567,5089
569_Female_unknown_Maui-Nui.jpg,569,Female,unknown,Maui-Nui,photos-5092-5092.jpg,687a5f59-d9c2-4400-a37b-e83ebe714957,569,5092
570_Female_unknown_Maui-Nui.jpg,570,Female,unknown,Maui-Nui,photos-5094-5094.jpg,754c3eb4-609d-4180-8af5-677813a1cb90,570,5094
572_Male_unknown_Maui-Nui.jpg,572,Male,unknown,Maui-Nui,photos-5098-5098.jpg,ca9ed644-c98c-4d48-be7a-2a10db69ca6d,572,5098
575_Female_unknown_Maui-Nui.jpg,575,Female,unknown,Maui-Nui,photos-5106-5106.jpg,714fdf56-2b56-4ab7-bcb1-7a54196c6a32,575,5106
576_Male_unknown_Maui-Nui.jpg,576,Male,unknown,Maui-Nui,photos-5107-5107.jpg,b65ddb0c-52ff-491f-9109-a2a46138cabf,576,5107
577_Unknown_unknown_Maui-Nui.jpg,577,Unknown,unknown,Maui-Nui,photos-5109-5109.jpg,dc7f0bd7-cd45-44e7-ae8b-2f6973962ddd,577,5109
579_Unknown_unknown_Maui-Nui.jpg,579,Unknown,unknown,Maui-Nui,photos-5111-5111.jpg,7176a680-35f6-45b9-99c3-84e71825fdeb,579,5111
580_Female_unknown_Maui-Nui.jpg,580,Female,unknown,Maui-Nui,photos-5113-5113.jpg,4a1dbd2c-b633-4703-a98a-7b0012946bb7,580,5113
581_Unknown_unknown_Maui-Nui.jpg,581,Unknown,unknown,Maui-Nui,photos-5116-5116.jpg,91bd62b9-dd67-427f-8ae1-3734573e17b6,581,5116
582_Unknown_unknown_Maui-Nui.jpg,582,Unknown,unknown,Maui-Nui,photos-5119-5119.jpg,7f96116b-de9b-473f-a831-db9dba3e995c,582,5119
583_Unknown_unknown_Maui-Nui.jpg,583,Unknown,unknown,Maui-Nui,photos-5122-5122.jpg,fe038bc0-bbdc-414c-811b-21461d560e42,583,5122
584_Female_unknown_Maui-Nui.jpg,584,Female,unknown,Maui-Nui,photos-5123-5123.jpg,1bd8e815-e15e-462d-872e-f1c65b6c70bb,584,5123
585_Unknown_unknown_Maui-Nui.jpg,585,Unknown,unknown,Maui-Nui,photos-5124-5124.jpg,60bb038b-548d-40d1-a9c2-22127eb262fa,585,5124
586_Unknown_unknown_Maui-Nui.jpg,586,Unknown,unknown,Maui-Nui,photos-5125-5125.jpg,da311433-61c9-4569-8d31-10e9f3ea7d78,586,5125
587_Unknown_unknown_Maui-Nui.jpg,587,Unknown,unknown,Maui-Nui,photos-5126-5126.jpg,bb5334d0-bb57-49b7-a551-58d4904ce2d0,587,5126
588_Unknown_unknown_Maui-Nui.jpg,588,Unknown,unknown,Maui-Nui,photos-5128-5128.jpg,d2ecab9a-7ca6-4691-ab31-0a20ce37a5b6,588,5128
589_Male_unknown_Maui-Nui.jpg,589,Male,unknown,Maui-Nui,photos-5129-5129.jpg,60a78b9f-2e09-4967-ac3d-8a7e0b68aa2d,589,5129
590_Unknown_unknown_Maui-Nui.jpg,590,Unknown,unknown,Maui-Nui,photos-5131-5131.jpg,b547efb7-77f5-4fad-a68a-0f416670c372,590,5131
592_Unknown_unknown_Maui-Nui.jpg,592,Unknown,unknown,Maui-Nui,photos-5134-5134.jpg,baef42b2-f10b-4635-87d0-c8e8819beeed,592,5134
593_Male_unknown_Maui-Nui.jpg,593,Male,unknown,Maui-Nui,photos-5135-5135.jpg,fd234a4e-c9ec-4383-8499-81aab9d7edc6,593,5135
594_Male_unknown_Maui-Nui.jpg,594,Male,unknown,Maui-Nui,photos-5136-5136.jpg,18bd2f5b-709a-4551-afae-94fa89a1ff90,594,5136
595_Female_unknown_Maui-Nui.jpg,595,Female,unknown,Maui-Nui,photos-5139-5139.jpg,47750628-9cbb-47c2-b7c6-f7b57cc5cfe7,595,5139
596_Unknown_unknown_Maui-Nui.jpg,596,Unknown,unknown,Maui-Nui,photos-5140-5140.jpg,db090269-aacf-4bcb-99ec-1b9b218b9511,596,5140
597_Male_unknown_Maui-Nui.jpg,597,Male,unknown,Maui-Nui,photos-5141-5141.jpg,aef56be4-4c74-436c-889c-77e563d11a9c,597,5141
598_Male_unknown_Maui-Nui.jpg,598,Male,unknown,Maui-Nui,photos-5142-5142.jpg,25dd2879-ff29-4d5a-acaa-72835c743130,598,5142
599_Unknown_unknown_Maui-Nui.jpg,599,Unknown,unknown,Maui-Nui,photos-5143-5143.jpg,a428844b-939e-44b6-8831-2a7b3a504de1,599,5143
600_Male_unknown_Maui-Nui.jpg,600,Male,unknown,Maui-Nui,photos-5144-5144.jpg,231d2897-bf0f-4d98-bd42-045e49fcf123,600,5144
601_Female_unknown_Maui-Nui.jpg,601,Female,unknown,Maui-Nui,photos-5145-5145.jpg,c390cdb3-d82e-4f1f-a639-89f8358ff1d6,601,5145
603_Unknown_unknown_Maui-Nui.jpg,603,Unknown,unknown,Maui-Nui,photos-5147-5147.jpg,7601282b-879a-4559-be30-99d3d3857ae6,603,5147
604_Male_unknown_Maui-Nui.jpg,604,Male,unknown,Maui-Nui,photos-5148-5148.jpg,2aea67a5-924c-41f4-a205-ef524b8d8ae4,604,5148
605_Male_unknown_Maui-Nui.jpg,605,Male,unknown,Maui-Nui,photos-5150-5150.jpg,df36f51c-7c11-498f-acf5-fb8e7a6817fa,605,5150
606_Unknown_unknown_Maui-Nui.jpg,606,Unknown,unknown,Maui-Nui,photos-5151-5151.jpg,d6c44e97-461f-4c4f-8671-e14599e50dcd,606,5151
607_Unknown_Unknown_Maui-Nui.jpg,607,Unknown,Unknown,Maui-Nui,photos-5152-5152.jpg,0a8bd03a-7059-4e4f-955f-a99263f40c7e,607,5152
609_Female_unknown_Maui-Nui.jpg,609,Female,unknown,Maui-Nui,photos-5154-5154.jpg,41f14175-2353-4a5d-a20f-12fe859a54fa,609,5154
611_Female_unknown_Maui-Nui.jpg,611,Female,unknown,Maui-Nui,photos-5159-5159.jpg,72d66243-6005-444c-9aa9-58c39dfba7b2,611,5159
612_Male_unknown_Maui-Nui.jpg,612,Male,unknown,Maui-Nui,photos-5161-5161.jpg,153fc209-7eaf-4c5a-b488-e6c4085294a1,612,5161
615_Unknown_unknown_Maui-Nui.jpg,615,Unknown,unknown,Maui-Nui,photos-5165-5165.jpg,baa17488-d6d6-4e68-841c-72905b3c1593,615,5165
616_Male_unknown_Maui-Nui.jpg,616,Male,unknown,Maui-Nui,photos-5166-5166.jpg,099424bb-328d-4540-9a2a-a4c1aec97e97,616,5166
617_Female_unknown_Maui-Nui.jpg,617,Female,unknown,Maui-Nui,photos-5167-5167.jpg,28a5a728-e762-409a-9beb-147f7009f6bd,617,5167
618_Female_unknown_Maui-Nui.jpg,618,Female,unknown,Maui-Nui,photos-5168-5168.jpg,595c2e97-74b3-47ba-983c-a9fdc7686c7a,618,5168
619_Female_Unknown_Maui-Nui.jpg,619,Female,Unknown,Maui-Nui,photos-5170-5170.jpg,3f19d97b-d3ce-453a-a218-01dba2fd6dc2,619,5170
620_Female_unknown_Maui-Nui.jpg,620,Female,unknown,Maui-Nui,photos-5171-5171.jpg,31e94a0e-3e63-4f8c-808a-cb1a0c805b53,620,5171
621_Female_unknown_Maui-Nui.jpg,621,Female,unknown,Maui-Nui,photos-5172-5172.jpg,8c923bb6-884e-4e2d-ba73-358ac0346faf,621,5172
622_Male_unknown_Maui-Nui.jpg,622,Male,unknown,Maui-Nui,photos-5173-5173.jpg,f5888192-7ea2-47dd-aabd-7c5ac0cb7b83,622,5173
623_Female_unknown_Maui-Nui.jpg,623,Female,unknown,Maui-Nui,photos-5174-5174.jpg,e1ad6455-cde9-4d36-a4d0-c4501e0e2684,623,5174
624_Male_Juvenile_Maui-Nui.jpg,624,Male,Juvenile,Maui-Nui,photos-5175-5175.jpg,bfe2cf58-39cc-413b-b1ab-74b541c67943,624,5175
625_Female_unknown_Maui-Nui.jpg,625,Female,unknown,Maui-Nui,photos-5177-5177.jpg,434a7965-e010-4e2f-8b49-70051a3a77d2,625,5177
626_Female_unknown_Maui-Nui.jpg,626,Female,unknown,Maui-Nui,photos-5178-5178.jpg,dc0d8d51-39b1-4b2b-8744-3d42049b8963,626,5178
627_Female_unknown_Maui-Nui.jpg,627,Female,unknown,Maui-Nui,photos-5179-5179.jpg,010b5a4f-bd5d-462d-91e2-a90baebe86af,627,5179
628_Male_unknown_Maui-Nui.jpg,628,Male,unknown,Maui-Nui,photos-5180-5180.jpg,b1bf7275-5fa9-404c-bc15-fa32e801d4ec,628,5180
629_Male_Juvenile_Maui-Nui.jpg,629,Male,Juvenile,Maui-Nui,photos-5181-5181.jpg,cd2795e8-1e0a-4983-a60b-9b32802790d1,629,5181
630_Unknown_unknown_Maui-Nui.jpg,630,Unknown,unknown,Maui-Nui,photos-5182-5182.jpg,66832a2b-3c30-4f1d-9bfb-7eade4cb073d,630,5182
632_Female_unknown_Maui-Nui.jpg,632,Female,unknown,Maui-Nui,photos-5185-5185.jpg,f855b28f-c094-49a4-bac5-35691f5e7b2a,632,5185
633_Unknown_unknown_Maui-Nui.jpg,633,Unknown,unknown,Maui-Nui,photos-5186-5186.jpg,381d7955-f245-4cbd-960a-4143cb3ed45b,633,5186
